"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","delay_seconds","requires_active_choice_id","excludes_active_choice_id","apply_once","condition_status_id","condition_target_side","attribute","base_damage","spell_power_coefficient","damage_multiplier","radius","cover_all","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","shield_amount_refresh_policy","status_action_speed_bonus","status_spell_power_bonus","status_damage_bonus_rate","status_shield_received_bonus","status_damage_taken_bonus","skill_effect_prefab_path","runtime_support_state","runtime_support_notes","condition_skill_attribute","status_flat_element_resist_reduction","status_critical_chance_bonus","condition_status_source_skill_id"
"ariel-c-shielded-holy-trait5-trait3","ariel-c","15","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","shield","AllAllies","Holy","0","0","1","0","true","blessing","1","신성 피해 증가","6","1","1","all_allies","same_source_refresh","","0","0","0.1","0","0","","MigratedToEffectBinding","Disabled after Ariel C pilot; behavior composes through base effect rows plus normalized choice nodes.","","","",""
"ariel-c-blessing-action-trait2-h-trait3","ariel-c","16","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","6","1","1","all_allies","same_source_refresh","","0.06","0","0","0","0","","MigratedToEffectBinding","Disabled after Ariel C pilot; behavior composes through base effect rows plus normalized choice nodes.","","","",""
"ariel-c-blessing-action-trait2-trait3-h-trait3","ariel-c","17","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","8","1","1","all_allies","same_source_refresh","","0.06","0","0","0","0","","MigratedToEffectBinding","Disabled after Ariel C pilot; behavior composes through base effect rows plus normalized choice nodes.","","","",""
"ariel-c-master1-spell","ariel-c","20","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","ariel-c-master-1","","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","4","1","1","all_allies","same_source_refresh","","0","0.18","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","RuntimeImplemented","Ariel C pilot: master1 spell buff now gets trait3/H trait3 duration through normalized DurationBonus nodes.","","","",""
"ariel-c-master1-spell-trait3","ariel-c","21","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","6","1","1","all_allies","same_source_refresh","","0","0.18","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","MigratedToEffectBinding","Disabled after Ariel C pilot; behavior composes through base effect rows plus normalized choice nodes.","","","",""
"ariel-c-master2-second-wave","ariel-c","30","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","Delayed","1","ariel-c-master-2","","false","","Enemy","Holy","28","1.2","0.6","3","false","","0","","0","0","0","","","","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C.prefab","RuntimeImplemented","Master 2 adds a second Holy wave at 60% damage; no reference interval exists, so delayed timing runs on the next frame.","","","",""
"ariel-e-shield-base","ariel-e","10","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","50","1.6","1","0","true","shield","1","방어막","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","RuntimeImplemented","Base Ariel E shield effect; trait2/master2 shield amount variants now compose through ShieldAmountMultiplier nodes.","","","",""
"ariel-e-shield-trait2","ariel-e","11","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","50","1.6","1.3","0","true","shield","1","방어막","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","MigratedToEffectBinding","Disabled duplicate Ariel E shield variant; base shield effect plus normalized shield amount nodes now compose this behavior.","","","",""
"ariel-e-shield-master2","ariel-e","12","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","50","1.6","0.7","0","true","shield","1","방어막","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","MigratedToEffectBinding","Disabled duplicate Ariel E shield variant; base shield effect plus normalized shield amount nodes now compose this behavior.","","","",""
"ariel-e-shield-trait2-master2","ariel-e","13","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","50","1.6","0.91","0","true","shield","1","방어막","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","MigratedToEffectBinding","Disabled duplicate Ariel E shield variant; base shield effect plus normalized shield amount nodes now compose this behavior.","","","",""
"ariel-j-after-e-action-speed","ariel-j","20","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel J Descent Action Speed","5","1","1","all_allies","same_source_refresh","","0.15","0","0","0","0","","RuntimeImplemented","Moved from Ariel E companion row to J-owned OnSkillCast trigger effect.","","","",""
"ariel-j-after-e-action-speed-trait1","ariel-j","21","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel J Descent Action Speed Trait 1","5","1","1","all_allies","same_source_refresh","","0.07","0","0","0","0","","MigratedToEffectBinding","Replaced by normalized StatusActionSpeedBonus node on ariel-j-after-e-action-speed.","","","",""
"ariel-e-holy-exposed-damage-trait4","ariel-e","30","Damage","Enemy","Nearest","Battlefield","PrimarySkillCenter","Center","OnCast","0","ariel-e-trait-4","","false","holy-exposure","Enemy","Holy","58","2.4","0.5","0","true","","0","","0","0","0","","","","0","0","0","0","0","","RuntimeImplemented","Ariel-E Trait 4 adds +50% extra Holy damage only to Holy Exposure targets.","","","",""
"ariel-e-master1-sanctuary","ariel-e","40","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","ariel-e-master-1","","false","","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel E Sanctuary","5","1","1","all_allies","same_source_refresh","","0","0","0","0","-0.18","","RuntimeImplemented","Ariel-E Master 1 grants all allies incoming damage -18% for 5s after descent.","","","",""
"ariel-e-trait5-extend-shield-duration","ariel-e","50","ExtendStatusDuration","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","ariel-e-trait-5","","false","","AllAllies","Holy","0","0","1","0","true","shield","1","방어막","3","1","1","all_allies","same_source_refresh","","0","0","0","0","0","","RuntimeImplemented","Ariel-E Trait 5 extends the remaining duration of current ally shield statuses by 3 seconds.","","","",""
"ariel-f-party-holy-damage","ariel-f","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel F Holy Damage","0.5","1","1","all_allies","same_source_refresh","","0","0","0.12","0","0","","RuntimeImplemented","Ariel-F passive: refreshes all allies holy damage +12% while learned.","","","",""
"ariel-f-holy-skill-crit-trait3","ariel-f","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","ariel-f-trait-3","","false","","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel F Holy Crit","0.5","1","1","all_allies","same_source_refresh","","0","0","0","0","0","","RuntimeImplemented","Ariel-F trait 3 grants crit chance +8% to allies that have at least one Holy active skill.","Holy","","0.08",""
"ariel-g-shield-received","ariel-g","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel G Shield Received","0.5","1","1","all_allies","same_source_refresh","","0","0","0","0.18","0","","RuntimeImplemented","Ariel-G passive: refreshes all allies shield received +18% while learned.","","","",""
"ariel-g-shield-received-trait1","ariel-g","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel G Shield Received Trait 1","0.5","1","1","all_allies","same_source_refresh","","0","0","0","0.08","0","","MigratedToEffectBinding","Replaced by normalized modifier node on the base effect object.","","","",""
"ariel-g-start-shield","ariel-g","20","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","0","","","true","","AllAllies","Holy","25","0.8","1","0","true","shield","1","Ariel G Start Shield","9999","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","","RuntimeImplemented","Ariel-G passive: one-shot combat-start shield 25 + spell power * 0.8.","","","",""
"ariel-g-start-shield-trait2","ariel-g","21","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","0","","","true","","AllAllies","Holy","10","0.32","1","0","true","shield","1","Ariel G Start Shield Trait 2","9999","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","","MigratedToEffectBinding","Replaced by normalized modifier node on the base effect object.","","","",""
"ariel-g-shielded-holy-trait3","ariel-g","30","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","ariel-g-trait-3","","false","shield","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel G Shielded Holy","0.5","1","1","all_allies","same_source_refresh","","0","0","0.10","0","0","","RuntimeImplemented","Ariel-G trait 3 grants shielded allies Holy damage +10% while learned.","","","",""
"ariel-h-blessed-holy-damage-speed","ariel-h","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","","","false","blessing","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel H Blessed","0.5","1","1","all_allies","same_source_refresh","","0.10","0","0.15","0","0","","RuntimeImplemented","Ariel-H passive: blessed allies gain holy damage +15% and action speed +10%.","","","",""
"ariel-i-holy-exposure-damage-taken","ariel-i","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","","","false","holy-exposure","Enemy","Holy","0","0","1","0","true","passive-buff","1","Ariel I Holy Exposure","0.5","1","1","","same_source_refresh","","0","0","0","0","0.10","","RuntimeImplemented","Ariel-I passive: enemies with holy exposure take +10% damage.","","","",""
"ariel-i-holy-exposure-damage-taken-trait1","ariel-i","11","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","","","false","holy-exposure","Enemy","Holy","0","0","1","0","true","passive-buff","1","Ariel I Holy Exposure Trait 1","0.5","1","1","","same_source_refresh","","0","0","0","0","0.05","","MigratedToEffectBinding","Replaced by normalized StatusDamageTakenBonus node on the base effect object.","","","",""
"ariel-i-holy-exposure-holy-resist-trait3","ariel-i","12","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","ariel-i-trait-3","","false","holy-exposure","Enemy","Holy","0","0","1","0","true","passive-buff","1","Ariel I Holy Resist Trait 3","0.5","1","1","","same_source_refresh","","0","0","0","0","0","","RuntimeImplemented","Ariel-I trait 3 reduces Holy resistance by 8 on holy exposure targets.","","8","",""
"ariel-j-shielded-holy-damage","ariel-j","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","","","false","shield","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel J Shielded Holy Damage","0.5","1","1","all_allies","same_source_refresh","","0","0","0.20","0","0","","RuntimeImplemented","J shielded holy damage now requires shield status sourced by the Ariel E shield effect, not any shield.","","","","ariel-e-shield-base"
